variant,routers,metric,hardware_n,otns_n,hardware_mean_ms,otns_mean_ms,delta_mean_ms,delta_mean_ci95_low_ms,delta_mean_ci95_high_ms,hardware_median_ms,otns_median_ms,delta_median_ms,delta_median_ci95_low_ms,delta_median_ci95_high_ms
fast-attach-corrected,2,child_id_request_to_ack_ms,100,100,3.84758471,3.84,0.007584710000000161,0.007484580000000296,0.007682470000000219,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.008075999999999972
fast-attach-corrected,2,child_id_request_ack_to_child_id_response_ms,100,100,9.95029926,1.832,8.118299259999999,7.828465262000001,8.40054145125,9.8639725,1.736,8.127972499999998,7.855080999999999,8.6854585
fast-attach-corrected,2,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
fast-attach-corrected,3,parent_request_to_response_ms,100,100,36.34360552,35.78208,0.5615255199999964,-5.100178493499995,6.065264966749997,33.6079595,33.995999999999995,-0.38804049999999535,-7.205921499999995,6.2419944999999935
fast-attach-corrected,3,parent_response_to_child_id_request_ms,100,100,11.84373858,6.37168,5.472058580000001,4.716337132249999,6.1979427135,11.349439499999999,5.896,5.453439499999999,5.135345324999999,5.950465500000001
fast-attach-corrected,3,child_id_request_to_response_ms,100,100,14.41510914,6.1936,8.22150914,7.527885953999999,8.96402092175,13.900399499999999,5.416,8.484399499999999,7.8009509999999995,8.979041
fast-attach-corrected,3,full_attach_ms,100,100,62.60245322,48.34736,14.25509322,8.458975203749995,19.91217419724999,58.68256100000001,46.828,11.854561000000004,6.9279790000000006,21.862008762499993
fast-attach-corrected,3,parent_request_to_ack_ms,0,0,,,,,,,,,,
fast-attach-corrected,3,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
fast-attach-corrected,3,parent_response_to_ack_ms,100,100,4.00750884,4.0,0.00750883999999985,0.0074087299999998635,0.007611360249999399,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007816000000000045
fast-attach-corrected,3,parent_response_ack_to_child_id_request_ms,100,100,7.83622978,2.37168,5.4645497800000005,4.715791008,6.1647400892499995,7.3421,1.896,5.4461,5.128407500000001,5.957181074999998
fast-attach-corrected,3,child_id_request_to_ack_ms,100,100,3.84768724,3.84,0.007687240000000095,0.00758707974999997,0.007784950250000011,3.8479565,3.84,0.007956500000000144,0.007837000000000316,0.008075999999999972
fast-attach-corrected,3,child_id_request_ack_to_child_id_response_ms,100,100,10.56742193,2.3536,8.21382193,7.528382837,8.95534864875,10.052085,1.576,8.476085,7.8297173625,8.970965
fast-attach-corrected,3,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
fast-attach-corrected,4,parent_request_to_response_ms,100,100,39.65790984,28.98904,10.668869840000003,4.322148042249998,16.9447457495,34.88850600000001,20.856,14.032506000000005,3.88350985,19.189511775
fast-attach-corrected,4,parent_response_to_child_id_request_ms,100,100,12.3933864,5.95936,6.4340264000000005,5.5975289105,7.388966863249999,11.0844375,5.576,5.5084375,4.952998999999999,5.772009
fast-attach-corrected,4,child_id_request_to_response_ms,100,100,15.05494118,6.15808,8.89686118,8.09904468075,9.6823722655,14.209509,5.416,8.793509,8.438958999999999,9.2249695
fast-attach-corrected,4,full_attach_ms,100,100,67.10623735,41.10648,25.999757350000003,19.460318252499995,32.708992239249994,61.1441135,33.248,27.896113500000006,20.436487649999993,33.53149699999999
fast-attach-corrected,4,parent_request_to_ack_ms,0,0,,,,,,,,,,
fast-attach-corrected,4,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
fast-attach-corrected,4,parent_response_to_ack_ms,100,100,4.00749456,4.0,0.007494559999999595,0.007394419999999791,0.007592320249999651,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007816000000000045
fast-attach-corrected,4,parent_response_ack_to_child_id_request_ms,100,100,8.38589195,1.95936,6.426531949999999,5.61051894275,7.381282758749999,7.077098,1.576,5.501098000000001,4.9456595000000005,5.763954
fast-attach-corrected,4,child_id_request_to_ack_ms,100,100,3.92700433,3.84,0.08700433000000007,0.007520359500000007,0.24588409050000054,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.008075999999999972
fast-attach-corrected,4,child_id_request_ack_to_child_id_response_ms,100,100,11.12793684,2.31808,8.80985684,7.996144362999999,9.620379644,10.328412499999999,1.576,8.752412499999998,8.397048999999999,9.197897
fast-attach-corrected,4,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
fast-attach-ucast-1,2,parent_request_to_response_ms,100,100,11.44923923,5.2436,6.20563923,5.64380828975,6.734299424,11.543512,4.48,7.063511999999999,6.6245415,7.3200069999999995
fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,100,100,10.60534233,6.232,4.373342329999999,3.8592287207500005,4.832456304749999,10.679126,5.576,5.1031260000000005,4.747005000000001,5.5239765
fast-attach-ucast-1,2,child_id_request_to_response_ms,100,100,13.83529424,5.84288,7.99241424,7.6117838915,8.328439288999999,13.9859915,5.416,8.5699915,7.989995999999999,8.8285439125
fast-attach-ucast-1,2,full_attach_ms,100,100,35.88987588,17.31848,18.571395879999997,17.775580317,19.3396601415,35.915493999999995,16.296,19.619493999999996,18.823959237500002,20.24163
fast-attach-ucast-1,2,parent_request_to_ack_ms,100,100,2.63684535,2.56,0.07684535000000015,0.007432139750000144,0.21556926949999997,2.567053,2.56,0.007052999999999976,0.007052999999999976,0.008007000000000097
