platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,4,parent_response_to_child_id_request_ms,100,471.34747742999997,133.71925831465163,460.78741549999995,245.07367599999992,284.2121123,354.9172875,599.9909634999999,676.4635326,242.307901,719.669819,469.138863675
otns,stock-low-power,4,child_id_request_to_response_ms,100,5.8672,1.3470096172971109,5.736,0.96,4.456,5.096,6.056,8.616,4.456,13.416,5.632
hardware,stock-low-power,4,child_id_request_to_response_ms,100,13.9851356,0.9967862195808703,13.9420035,1.4223457499999999,12.709056899999998,13.1378175,14.56016325,15.7585028,12.303114,16.73913,13.9189720625
otns,stock-low-power,4,full_attach_ms,100,755.71669,1.7350684537772332,755.552,2.466000000000008,753.5187999999999,754.392,756.8580000000001,758.6308,751.528,761.8,755.6088625
hardware,stock-low-power,4,full_attach_ms,100,765.54303405,1.8432483553588692,765.4744384999999,2.102554249999912,762.46600135,764.449954,766.55250825,768.62882345,761.233091,769.9821,765.529093125
otns,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,4,parent_response_to_ack_ms,100,4.00758039,0.0005222343391136384,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007598825
otns,stock-low-power,4,parent_response_ack_to_child_id_request_ms,100,500.41525,153.046362698827,496.352,275.85599999999994,262.40680000000003,366.944,642.8,731.6764,240.56,740.552,501.7573625
hardware,stock-low-power,4,parent_response_ack_to_child_id_request_ms,100,467.3398972,133.71927980656488,456.77948,245.07367600000003,280.20405734999997,350.909293,595.982969,672.4557166,238.3008,715.662003,465.1312739125
otns,stock-low-power,4,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,4,child_id_request_to_ack_ms,100,3.84768486,0.0005604977048762791,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.847688375
otns,stock-low-power,4,child_id_request_ack_to_child_id_response_ms,100,2.0272,1.3470096172971109,1.896,0.9600000000000002,0.616,1.256,2.216,4.776,0.616,9.576,1.792
hardware,stock-low-power,4,child_id_request_ack_to_child_id_response_ms,100,10.13745066,0.9967252591735751,10.094642499999999,1.4221072499999998,8.861219850000001,9.28998,10.71208725,11.91070055,8.455992,12.891054,10.071331225
otns,stock-low-power,4,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock-low-power,4,adjusted_parent_request_to_response_ms,100,9.74042111,1.171338777637025,9.689416000000001,1.636664999999999,7.8306447,8.85832425,10.49498925,11.46488265,7.644073,14.157932,9.686981925
otns,ucast,2,parent_request_to_response_ms,100,247.26752,147.35504569839938,247.78,256.91200000000003,20.974,121.452,378.36400000000003,463.6504,15.44,493.472,247.0647
