platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,ucast,3,parent_request_ack_to_parent_response_ms,100,498.84057,2398.6135461675417,257.38,221.68000000000004,54.1,157.66,379.34000000000003,471.712,8.56,24207.944,261.8720125
hardware,ucast,3,parent_request_ack_to_parent_response_ms,100,248.87819768,145.85727574203105,242.11943150000002,258.82256075000004,39.797282349999996,131.5135355,390.33609625,470.8194133,7.967949,500.840902,247.5454121875
otns,ucast,3,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,ucast,3,parent_response_to_ack_ms,100,4.00751364,0.0005137456730383283,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.0075273
otns,ucast,3,parent_response_ack_to_child_id_request_ms,100,1.9088,1.5008779114406692,1.576,1.2800000000000002,0.616,0.936,2.216,5.111999999999999,0.616,8.936,1.6
hardware,ucast,3,parent_response_ack_to_child_id_request_ms,100,6.50660513,0.8891150813523836,6.6030025000000006,1.889467250000001,5.3761957,5.4584744999999995,7.34794175,7.7888605,4.899025,8.320093,6.4992517375
otns,ucast,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,ucast,3,child_id_request_to_ack_ms,100,3.84757522,0.0005511024869395475,3.847837,0.0011919999999996378,3.846884,3.846884,3.848076,3.848076,3.846884,3.84903,3.8475871
otns,ucast,3,child_id_request_ack_to_child_id_response_ms,100,1.8608,1.4054816780999841,1.576,1.04,0.616,0.936,1.976,4.776,0.616,9.256,1.576
hardware,ucast,3,child_id_request_ack_to_child_id_response_ms,100,10.11949304,0.8265768750907847,10.336995,1.1913177499999996,8.68413415,9.545982,10.73729975,11.05589895,8.18491,11.863947,10.1691574125
otns,ucast,4,parent_request_to_ack_ms,100,2.63136,0.5102111173253914,2.56,0.0,2.56,2.56,2.56,2.56,2.56,6.768,2.56
