platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock-low-power,4,child_id_request_to_response_ms,96,5.849333333333333,1.3335971668794036,5.736,0.96,4.456,5.096,6.056,8.616,4.456,13.416,5.629333333333333
hardware,stock-low-power,4,child_id_request_to_response_ms,92,13.978279206521739,1.0127072520944504,13.932586,1.4223457499999999,12.6778721,13.1378175,14.56016325,15.811813200000001,12.303114,16.73913,13.910596486486487
otns,stock-low-power,4,full_attach_ms,96,755.7338125,1.7414479958840026,755.552,2.466000000000008,753.514,754.392,756.8580000000001,758.658,751.528,761.8,755.6283846153847
hardware,stock-low-power,4,full_attach_ms,92,765.5728303478261,1.8937553726039233,765.547037,2.317011500000035,762.36910815,764.3012405,766.618252,768.6439870500001,761.233091,769.9821,765.5672607837838
otns,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_response_to_ack_ms,96,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,4,parent_response_to_ack_ms,92,4.007557282608696,0.0005309503055342594,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007568310810811
otns,stock-low-power,4,parent_response_ack_to_child_id_request_ms,96,501.59063541666666,149.8805454999779,496.352,272.01399999999995,263.36199999999997,370.786,642.8,720.39,250.52,740.552,502.9162692307692
hardware,stock-low-power,4,parent_response_ack_to_child_id_request_ms,92,466.3112475,134.47194591678715,439.650536,245.07367600000003,275.45285215,350.909293,595.982969,671.0435389500001,238.3008,715.662003,464.1663899864865
otns,stock-low-power,4,child_id_request_to_ack_ms,96,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,4,child_id_request_to_ack_ms,92,3.847679358695652,0.0005467962752494867,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476891756756757
otns,stock-low-power,4,child_id_request_ack_to_child_id_response_ms,96,2.009333333333333,1.3335971668794036,1.896,0.9600000000000002,0.616,1.256,2.216,4.776,0.616,9.576,1.7893333333333334
hardware,stock-low-power,4,child_id_request_ack_to_child_id_response_ms,92,10.13059975,1.0126648849515882,10.085106,1.4221072499999998,8.83003465,9.28998,10.71208725,11.96429695,8.455992,12.891054,10.062968364864865
otns,stock-low-power,4,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
