platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,fast-attach-corrected,4,child_id_request_to_response_ms,12.776,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_076/baseline_summary_20260919T112909Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,13.096,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_084/baseline_summary_20260919T112913Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,11.72,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_012/baseline_summary_20260919T090252Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,13.504,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_023/baseline_summary_20260919T090254Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,10.184,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_026/baseline_summary_20260919T090257Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,16.32,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_033/baseline_summary_20260919T090259Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,16.32,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_055/baseline_summary_20260919T090304Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_request_to_response_ms,13.44,-0.5760000000000014,9.952000000000002,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_080/baseline_summary_20260919T090311Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,11.016,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_008/baseline_summary_20260919T090249Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,16.456,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_065/baseline_summary_20260919T090309Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,14.536,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_077/baseline_summary_20260919T090311Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,12.936,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_083/baseline_summary_20260919T090314Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,17.096,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_086/baseline_summary_20260919T090314Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,parent_response_to_child_id_request_ms,10.696,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_091/baseline_summary_20260919T090316Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,child_id_request_to_response_ms,14.824,0.935999999999999,9.896,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_025/baseline_summary_20260919T090257Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,2,child_id_request_to_response_ms,14.696,0.935999999999999,9.896,results/smoke/fast-attach-ucast-1-2routers-pcap-validation-20260919/run_063/baseline_summary_20260919T090307Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,parent_request_to_response_ms,13.96,-3.6959999999999997,13.411999999999999,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_016/baseline_summary_20260919T090324Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,parent_request_to_response_ms,14.28,-3.6959999999999997,13.411999999999999,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_038/baseline_summary_20260919T090332Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,parent_response_to_child_id_request_ms,12.504,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_014/baseline_summary_20260919T090324Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,3,parent_response_to_child_id_request_ms,10.904,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_036/baseline_summary_20260919T090332Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,3,parent_response_to_child_id_request_ms,13.896,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_056/baseline_summary_20260919T090337Z.json,False,True,duplicate_selected_mac_sequence,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,9.896,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_002/baseline_summary_20260919T090321Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,11.816,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_005/baseline_summary_20260919T090321Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,13.736,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_033/baseline_summary_20260919T090332Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,15.656,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_058/baseline_summary_20260919T090340Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,9.576,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_067/baseline_summary_20260919T090343Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,11.496,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_073/baseline_summary_20260919T090345Z.json,False,False,valid_complete_sequence_long_tail,retained
